image_id,deepseek (post)_compiled,deepseek (post)_color,deepseek (post)_clip,glm (post)_compiled,glm (post)_color,glm (post)_clip,gpt (post)_compiled,gpt (post)_color,gpt (post)_clip,kimi-turbo (post)_compiled,kimi-turbo (post)_color,kimi-turbo (post)_clip,deepseek (llm)_compiled,deepseek (llm)_color,deepseek (llm)_clip,gpt (llm)_compiled,gpt (llm)_color,gpt (llm)_clip,gpt (a2)_compiled,gpt (a2)_color,gpt (a2)_clip,gpt(nocolor)_compiled,gpt(nocolor)_color,gpt(nocolor)_clip
001,否,0.0000,0.0000,是,0.7005,0.9013,是,0.7091,0.9049,是,0.5048,0.7232,否,0.0000,0.0000,是,0.7092,0.9049,否,0.0000,0.0000,否,0.0000,0.0000
002,是,0.9433,0.9641,是,0.8622,0.9659,是,0.8259,0.9539,否,0.0000,0.0000,是,0.9431,0.9677,是,0.8259,0.9539,否,0.0000,0.0000,否,0.0000,0.0000
003,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6884,0.9289,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6884,0.9289,否,0.0000,0.0000,否,0.0000,0.0000
004,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
005,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
006,是,0.3086,0.9476,是,0.6303,0.9266,是,0.4271,0.9585,否,0.0000,0.0000,是,0.3086,0.9476,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
007,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9988,0.8754,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
008,是,0.3009,0.9337,是,0.4194,0.9532,是,0.4661,0.9576,是,0.3583,0.9667,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
009,否,0.0000,0.0000,是,0.9987,0.9451,是,0.9986,0.9372,是,0.6255,0.9361,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
010,否,0.0000,0.0000,是,0.9691,0.9401,是,0.5987,0.8891,是,0.6635,0.8168,否,0.0000,0.0000,是,0.5987,0.8891,否,0.0000,0.0000,是,0.7832,0.8549
011,是,0.6066,0.6686,是,0.8596,0.8165,是,0.7634,0.8273,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6474,0.7038,是,0.5771,0.7754
012,是,0.2844,0.8799,是,0.2218,0.7847,是,0.1467,0.8474,否,0.0000,0.0000,是,0.0000,0.8223,是,0.1467,0.8474,否,0.0000,0.0000,是,0.3163,0.8434
013,是,0.2283,0.9151,是,0.2002,0.9331,否,0.0000,0.0000,是,0.1967,0.9384,是,0.2283,0.9151,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0218,0.9473
014,否,0.0000,0.0000,是,0.4575,0.6806,是,0.6141,0.8269,是,0.2104,0.6900,否,0.0000,0.0000,是,0.6148,0.8269,否,0.0000,0.0000,是,0.4210,0.6790
015,否,0.0000,0.0000,是,0.9798,0.9231,是,0.3946,0.8619,是,0.5396,0.8656,否,0.0000,0.0000,是,0.3941,0.8619,否,0.0000,0.0000,是,0.5734,0.9342
016,否,0.0000,0.0000,是,0.9901,0.9622,否,0.0000,0.0000,是,0.5669,0.9606,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
017,是,0.9987,0.9036,是,0.9984,0.9077,是,0.9983,0.9216,是,0.9984,0.8603,是,0.9987,0.9036,是,0.9983,0.9216,否,0.0000,0.0000,是,0.9978,0.9203
018,是,0.5469,0.7402,是,0.7138,0.7987,是,0.7850,0.7858,是,0.8599,0.8053,是,0.5469,0.7402,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6302,0.7444
