image_id,deepseek (post)_compiled,deepseek (post)_color,deepseek (post)_clip,glm (post)_compiled,glm (post)_color,glm (post)_clip,gpt (post)_compiled,gpt (post)_color,gpt (post)_clip,kimi-turbo (post)_compiled,kimi-turbo (post)_color,kimi-turbo (post)_clip,deepseek (llm)_compiled,deepseek (llm)_color,deepseek (llm)_clip,gpt (llm)_compiled,gpt (llm)_color,gpt (llm)_clip,gpt (a2)_compiled,gpt (a2)_color,gpt (a2)_clip,gpt(nocolor)_compiled,gpt(nocolor)_color,gpt(nocolor)_clip
001,是,0.3295,0.8825,否,0.0000,0.0000,是,0.8060,0.9072,否,0.0000,0.0000,是,0.3251,0.8825,是,0.3325,0.9357,否,0.0000,0.0000,是,0.0010,0.7605
002,是,0.9519,0.9667,是,0.9405,0.9719,是,0.9630,0.9561,否,0.0000,0.0000,是,0.9520,0.9658,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
003,否,0.0000,0.0000,否,0.0000,0.0000,是,0.8096,0.9381,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
004,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
005,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
006,是,0.2576,0.9395,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2578,0.9355,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
007,否,0.0000,0.0000,是,0.9982,0.8147,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
008,是,0.2830,0.9069,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2830,0.9095,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
009,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
010,是,0.5991,0.8094,否,0.0000,0.0000,是,0.2582,0.8602,否,0.0000,0.0000,是,0.5991,0.8101,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
011,是,0.4895,0.7405,是,0.2851,0.8257,否,0.0000,0.0000,否,0.0000,0.0000,是,0.4882,0.7405,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
